"","country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","days_since_case100","days_since_death10"
"41","Afghanistan",2020-04-26,96,1531,68,50,3,207,19,1274,3.9,0.2,3.3,31,21
"72","Albania",2020-04-26,96,726,14,28,1,410,7,288,25.2,0.5,10,35,30
"125","Algeria",2020-04-26,96,3382,126,425,6,1508,29,1449,7.7,0.3,3.3,37,38
"198","Andorra",2020-04-26,96,738,0,40,0,344,0,354,958.4,0,459.7,36,27
"265","Angola",2020-04-26,96,26,1,2,0,6,0,18,0.1,0,0.1,0,0
"286","Antigua and Barbuda",2020-04-26,96,24,0,3,0,11,0,10,24.5,0,10.2,0,0
"315","Argentina",2020-04-26,96,3892,112,192,7,1107,77,2593,8.6,0.2,5.7,38,31
"423","Armenia",2020-04-26,96,1746,69,28,0,833,30,885,58.9,2.3,29.9,39,18
"475","Australia",2020-04-26,96,6714,20,83,3,5541,165,1090,26.3,0.1,4.3,48,32
"539","Austria",2020-04-26,96,15225,77,542,6,12282,179,2401,169.1,0.9,26.7,50,36
"604","Azerbaijan",2020-04-26,96,1645,28,21,0,1139,59,485,16.2,0.3,4.8,32,17
"637","Bahrain",2020-04-26,96,2647,59,8,0,1189,29,1450,155.5,3.5,85.2,48,0
"738","Bangladesh",2020-04-26,96,5416,418,145,5,122,9,5149,3.3,0.3,3.1,21,21
"770","Barbados",2020-04-26,96,79,0,6,0,39,8,34,27.5,0,11.8,0,0
"836","Belarus",2020-04-26,96,10463,873,72,5,1695,122,8696,110.7,9.2,92,28,21
"887","Belgium",2020-04-26,96,46134,809,7094,177,10785,368,28255,398.1,7,243.8,52,41
"953","Belize",2020-04-26,96,18,0,2,0,5,0,11,4.5,0,2.8,0,0
"996","Benin",2020-04-26,96,64,10,1,0,33,6,30,0.5,0.1,0.2,0,0
"1052","Bhutan",2020-04-26,96,7,0,0,0,4,1,3,0.9,0,0.4,0,0
"1099","Bolivia",2020-04-26,96,950,84,50,4,80,26,820,8.1,0.7,7,27,23
"1150","Bosnia and Herzegovina",2020-04-26,96,1516,30,59,2,624,32,833,46.2,0.9,25.4,36,28
"1179","Botswana",2020-04-26,96,22,0,1,0,0,0,21,0.9,0,0.9,0,0
"1246","Brazil",2020-04-26,96,63100,3776,4286,229,30152,992,28662,29.7,1.8,13.5,45,38
"1267","Brunei",2020-04-26,96,138,0,1,0,123,2,14,31.6,0,3.2,34,0
"1329","Bulgaria",2020-04-26,96,1300,53,56,1,205,8,1039,18.7,0.8,15,38,26
"1384","Burkina Faso",2020-04-26,96,632,3,42,1,453,11,137,3,0,0.7,34,30
"1424","Burma",2020-04-26,96,146,0,5,0,10,0,131,0.3,0,0.2,8,0
"1455","Burundi",2020-04-26,96,11,0,1,0,4,0,6,0.1,0,0.1,0,0
"1459","Cambodia",2020-04-26,96,122,0,0,0,117,0,5,0.7,0,0,29,0
"1571","Cameroon",2020-04-26,96,1621,103,56,3,786,89,779,6.1,0.4,2.9,29,19
"1621","Canada",2020-04-26,96,47145,1654,2661,114,16883,870,27601,124.9,4.4,73.1,47,38
"1698","Cape Verde",2020-04-26,96,106,16,1,0,1,0,104,19.1,2.9,18.7,1,0
"1769","Central African Republic",2020-04-26,96,19,3,0,0,10,0,9,0.4,0.1,0.2,0,0
"1810","Chad",2020-04-26,96,46,0,0,0,15,0,31,0.3,0,0.2,0,0
"1841","Chile",2020-04-26,96,13331,473,189,8,7024,278,6118,69.7,2.5,32,42,27
"1879","Colombia",2020-04-26,96,5379,237,244,11,1133,66,4002,10.6,0.5,7.9,39,29
"1934","Costa Rica",2020-04-26,96,695,2,6,0,264,22,425,13.6,0,8.3,37,0
"1987","Cote d'Ivoire",2020-04-26,96,1150,73,14,0,468,49,668,4.4,0.3,2.5,31,6
"2023","Croatia",2020-04-26,96,2030,14,55,1,1103,69,872,49.5,0.3,21.2,39,23
"2119","Cuba",2020-04-26,96,1369,32,54,3,501,64,814,12.1,0.3,7.2,30,20
"2152","Cyprus",2020-04-26,96,817,7,14,0,148,0,655,67.7,0.6,54.3,35,21
"2198","Czech Republic",2020-04-26,96,7404,52,220,2,2545,92,4639,69.1,0.5,43.3,45,30
"2276","Democratic Republic of the Congo",2020-04-26,96,442,26,28,0,50,1,364,0.5,0,0.4,26,25
"2292","Denmark",2020-04-26,96,8773,130,422,4,5994,136,2357,151.5,2.2,40.7,48,37
"2356","Diamond Princess Cruise Ship",2020-04-26,96,712,0,13,0,645,0,54,NA,NA,NA,77,34
"2450","Djibouti",2020-04-26,96,1023,15,2,0,411,38,610,103.5,1.5,61.7,19,0
"2492","Dominica",2020-04-26,96,16,0,0,0,13,0,3,22.2,0,4.2,0,0
